Cost (Dollars),Quantity (g),Product Key,Date Key,Location Key
5.85,500.0,1,52,195
5.66,500.0,1,52,196
6.26,500.0,1,52,197
6.29,500.0,1,52,198
6.58,500.0,1,53,188
6.11,500.0,1,53,189
6.14,500.0,1,53,190
6.22,500.0,1,53,191
6.26,500.0,1,53,192
6.82,500.0,1,53,193
6.82,500.0,1,53,194
6.19,500.0,1,53,195
5.92,500.0,1,53,196
6.37,500.0,1,53,197
6.52,500.0,1,53,198
6.43,500.0,1,54,188
6.37,500.0,1,54,189
6.48,500.0,1,54,190
6.57,500.0,1,54,191
6.65,500.0,1,54,192
6.56,500.0,1,54,193
6.27,500.0,1,54,194
6.27,500.0,1,54,195
6.1,500.0,1,54,196
6.69,500.0,1,54,197
6.61,500.0,1,54,198
6.79,500.0,1,55,199
6.56,500.0,1,55,200
6.76,500.0,1,55,201
6.83,500.0,1,55,202
6.94,500.0,1,55,203
6.56,500.0,1,55,204
6.83,500.0,1,55,205
6.58,500.0,1,55,206
6.21,500.0,1,55,196
7.09,500.0,1,55,207
6.88,500.0,1,55,208
7.08,500.0,1,56,199
6.13,500.0,1,56,200
6.76,500.0,1,56,201
6.87,500.0,1,56,202
7.09,500.0,1,56,203
7.7,500.0,1,56,204
7.11,500.0,1,56,205
6.67,500.0,1,56,206
6.39,500.0,1,56,196
7.04,500.0,1,56,207
7.01,500.0,1,56,208
7.05,500.0,1,57,199
6.74,500.0,1,57,200
7.13,500.0,1,57,201
7.05,500.0,1,57,202
7.27,500.0,1,57,203
7.66,500.0,1,57,204
6.81,500.0,1,57,205
6.85,500.0,1,57,206
6.55,500.0,1,57,196
7.24,500.0,1,57,207
7.17,500.0,1,57,208
6.84,500.0,1,58,209
6.68,500.0,1,58,210
6.96,500.0,1,58,211
7.01,500.0,1,58,212
7.11,500.0,1,58,213
6.77,500.0,1,58,214
6.92,500.0,1,58,215
6.39,500.0,1,58,216
6.24,500.0,1,58,217
6.77,500.0,1,58,218
6.97,500.0,1,58,219
7.04,500.0,1,59,209
6.3,500.0,1,59,210
6.6,500.0,1,59,211
6.8,500.0,1,59,212
6.89,500.0,1,59,213
6.54,500.0,1,59,214
7.28,500.0,1,59,215
7.03,500.0,1,59,216
6.72,500.0,1,59,217
7.4,500.0,1,59,218
7.59,500.0,1,59,219
7.34,500.0,1,60,209
7.24,500.0,1,60,210
7.13,500.0,1,60,211
7.16,500.0,1,60,212
7.23,500.0,1,60,213
7.72,500.0,1,60,214
7.26,500.0,1,60,215
6.94,500.0,1,60,216
6.7,500.0,1,60,217
7.34,500.0,1,60,218
7.58,500.0,1,60,219
6.9,500.0,1,61,220
6.29,500.0,1,61,221
6.86,500.0,1,61,222
6.71,500.0,1,61,223
6.89,500.0,1,61,224
7.19,500.0,1,61,225
6.8,500.0,1,61,226
6.77,500.0,1,61,227
6.4,500.0,1,61,228
7.0,500.0,1,61,229
7.21,500.0,1,61,230
7.0,500.0,1,62,220
6.56,500.0,1,62,221
6.79,500.0,1,62,222
6.7,500.0,1,62,223
6.84,500.0,1,62,224
6.71,500.0,1,62,225
7.18,500.0,1,62,226
6.75,500.0,1,62,227
6.6,500.0,1,62,228
7.16,500.0,1,62,229
7.24,500.0,1,62,230
6.98,500.0,1,63,220
6.49,500.0,1,63,221
6.67,500.0,1,63,222
6.81,500.0,1,63,223
6.87,500.0,1,63,224
7.29,500.0,1,63,225
6.88,500.0,1,63,226
6.96,500.0,1,63,227
6.73,500.0,1,63,228
7.05,500.0,1,63,229
7.23,500.0,1,63,230
7.25,500.0,1,64,231
6.73,500.0,1,64,232
6.86,500.0,1,64,233
6.95,500.0,1,64,234
